"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1351","Validate products exist using stored file data","chromium","Wed Dec 10 20:29:33 IST 2025","passed","Wed Dec 10 20:29:34 IST 2025","","ui\validate-products.spec.js","",""
"","1759","Validate products exist using stored file data","firefox","Wed Dec 10 20:29:46 IST 2025","passed","Wed Dec 10 20:29:48 IST 2025","","ui\validate-products.spec.js","",""
"","2509","Complete checkout","firefox","Wed Dec 10 20:29:41 IST 2025","passed","Wed Dec 10 20:29:44 IST 2025","","ui\checkout.spec.js","",""
"","4789","Add products in cart","firefox","Wed Dec 10 20:29:36 IST 2025","passed","Wed Dec 10 20:29:41 IST 2025","","ui\add-to-cart.spec.js","",""
"","1513","Login test-store successful login result in file","webkit","Wed Dec 10 20:29:56 IST 2025","passed","Wed Dec 10 20:29:57 IST 2025","","ui\login.spec.js","",""
"","1861","Add products in cart","chromium","Wed Dec 10 20:29:27 IST 2025","passed","Wed Dec 10 20:29:29 IST 2025","","ui\add-to-cart.spec.js","",""
"","2010","Add products in cart","webkit","Wed Dec 10 20:29:51 IST 2025","passed","Wed Dec 10 20:29:53 IST 2025","","ui\add-to-cart.spec.js","",""
"","2046","Login test-store successful login result in file","firefox","Wed Dec 10 20:29:44 IST 2025","passed","Wed Dec 10 20:29:46 IST 2025","","ui\login.spec.js","",""
"","1708","Validate products exist using stored file data","webkit","Wed Dec 10 20:29:57 IST 2025","passed","Wed Dec 10 20:29:59 IST 2025","","ui\validate-products.spec.js","",""
"","1586","Login test-store successful login result in file","chromium","Wed Dec 10 20:29:31 IST 2025","passed","Wed Dec 10 20:29:33 IST 2025","","ui\login.spec.js","",""
"","2613","Complete checkout","webkit","Wed Dec 10 20:29:53 IST 2025","passed","Wed Dec 10 20:29:56 IST 2025","","ui\checkout.spec.js","",""
"","1582","Complete checkout","chromium","Wed Dec 10 20:29:30 IST 2025","passed","Wed Dec 10 20:29:31 IST 2025","","ui\checkout.spec.js","",""
